customer_reference_number,external_customer_id,first_name,last_name,email,phone_number,address,city,country,postcode,loyalty_card
1037,03090-88267-BQ,Avrit,Davidowsky,adavidowskyl@netvibes.com,+33 1 59 89 18 11,"36, avenue Ledoux",Bordeaux,France,33000,No
1205,24010-66714-HW,Chrisy,Blofeld,cblofeldo@amazon.co.uk,+33 1 95 15 92 73,chemin Morvan,Bordeaux,France,33000,No
1311,57145-31023-FK,Nanine,McCarthy,nanine.mccarthy@hotmail.com,+33 1 73 79 44 60,"17, avenue Maréchal",Bordeaux,France,33000,No
1235,66408-53777-VE,Lyndsey,Megany,lyndsey.megany@gmail.com,+33 4 94 75 75 10,"809, avenue Hoarau",Bordeaux,France,33000,No
1060,45899-92796-EI,Kerr,Patise,kpatise7z@jigsy.com,+33 1 29 70 80 21,"18, rue Lagarde",Bordeaux,France,33000,No
1086,66976-43829-YG,Domeniga,Duke,dduke82@vkontakte.ru,+33 3 67 79 23 75,rue de Gilles,Bordeaux,France,33000,No
1487,58690-31815-VY,Isidore,Hussey,ihussey84@mapy.cz,+33 4 88 80 02 00,"7, rue de Duhamel",Bordeaux,France,33000,No
1233,62863-81239-DT,Cassie,Pinkerton,cpinkerton85@upenn.edu,+33 4 69 41 89 84,"1, boulevard Goncalves",Bordeaux,France,33000,No
1327,21177-40725-CF,Micki,Fero,micki.fero@hotmail.com,+33 2 29 50 84 15,"41, chemin Nicole Lecoq",Bordeaux,France,33000,No
1453,99421-80253-UI,Cybill,Graddell,cybill.graddell@yahoo.com,+33 2 12 11 10 85,"78, rue Bruneau",Bordeaux,France,33000,No
1150,14756-18321-CL,Linn,Alaway,lalawayhh@weather.com,+33 1 45 68 35 31,"26, avenue de Pichon",Saint-Malo,France,35400,No
1508,37997-75562-PI,Cami,Meir,cmeirhi@cnet.com,+33 4 65 68 19 05,"50, boulevard Alexandria Valette",Saint-Malo,France,35400,No
1575,96116-24737-LV,Marjorie,Yoxen,myoxenhk@google.com,+33 2 43 58 62 92,"93, avenue Henriette Moreau",Saint-Malo,France,35400,No
1340,18684-73088-YL,Gaspar,McGavin,gmcgavinhl@histats.com,+33 5 65 66 49 77,"71, chemin Laetitia Mallet",Saint-Malo,France,35400,No
1748,74671-55639-TU,Lindy,Uttermare,luttermarehm@engadget.com,+33 3 00 34 71 65,"72, rue Noël Moreau",Saint-Malo,France,35400,No
1148,34666-76738-SQ,Marne,Mingey,marne.mingey@yahoo.com,+33 4 70 61 52 23,"18, rue Guy Toussaint",Saint-Malo,France,35400,No
1223,52143-35672-JF,Tuckie,Mathonnet,tmathonneti0@google.co.jp,+33 4 11 70 86 97,"67, rue Suzanne Bousquet",Saint-Malo,France,35400,No
1532,71749-05400-CN,Giana,Tonnesen,giana.tonnesen@hotmail.com,+33 1 27 50 10 76,boulevard de Raymond,Saint-Malo,France,35400,No
1129,29851-36402-UX,Almeria,Burgett,aburgetti5@moonfruit.com,+33 4 84 26 24 80,"12, avenue de Rousseau",Saint-Malo,France,35400,No
1363,12190-25421-WM,Marvin,Malloy,mmalloyi6@seattletimes.com,+33 4 97 33 26 85,"75, chemin Agnès Berger",Saint-Malo,France,35400,No
1463,23243-92649-RY,Sylas,Jennaroy,sjennaroyi8@purevolume.com,+33 4 50 99 13 72,"45, avenue de Andre",Saint-Malo,France,35400,No
1303,56891-86662-UY,Val,Wakelin,vwakelinic@unesco.org,+33 1 03 66 04 70,"68, rue de Rossi",Saint-Malo,France,35400,No
1502,87858-83734-RK,Shermy,Moseby,smosebyie@stanford.edu,+33 2 60 93 29 03,"97, chemin de Chartier",Saint-Malo,France,35400,No
1470,46818-20198-GB,Corrie,Wass,cwassif@prweb.com,+33 1 05 58 54 65,"23, rue de Sauvage",Saint-Malo,France,35400,No
